Issue_ID,Summary,Description,Status,Priority,Assignee,Reporter,Created_Date,Due_Date
ISSUE-383,Task summary 383,Detailed description of task 383,In Progress,Medium,user_48,user_37,2023-01-16 22:00:00,2023-02-16 22:00:00
ISSUE-384,Task summary 384,Detailed description of task 384,Done,High,user_24,user_20,2023-01-16 23:00:00,2023-02-16 23:00:00
ISSUE-385,Task summary 385,Detailed description of task 385,In Progress,High,user_23,user_42,2023-01-17 00:00:00,2023-02-17 00:00:00
ISSUE-386,Task summary 386,Detailed description of task 386,In Progress,Low,user_48,user_47,2023-01-17 01:00:00,2023-02-17 01:00:00
ISSUE-387,Task summary 387,Detailed description of task 387,To Do,High,user_37,user_6,2023-01-17 02:00:00,2023-02-17 02:00:00
ISSUE-388,Task summary 388,Detailed description of task 388,To Do,Low,user_38,user_18,2023-01-17 03:00:00,2023-02-17 03:00:00
ISSUE-389,Task summary 389,Detailed description of task 389,To Do,High,user_41,user_38,2023-01-17 04:00:00,2023-02-17 04:00:00
ISSUE-390,Task summary 390,Detailed description of task 390,In Progress,Critical,user_48,user_3,2023-01-17 05:00:00,2023-02-17 05:00:00
ISSUE-391,Task summary 391,Detailed description of task 391,Done,Critical,user_6,user_37,2023-01-17 06:00:00,2023-02-17 06:00:00
ISSUE-392,Task summary 392,Detailed description of task 392,In Progress,Medium,user_15,user_10,2023-01-17 07:00:00,2023-02-17 07:00:00
ISSUE-393,Task summary 393,Detailed description of task 393,To Do,Low,user_33,user_1,2023-01-17 08:00:00,2023-02-17 08:00:00
ISSUE-394,Task summary 394,Detailed description of task 394,To Do,Low,user_26,user_28,2023-01-17 09:00:00,2023-02-17 09:00:00
ISSUE-395,Task summary 395,Detailed description of task 395,In Progress,Low,user_4,user_47,2023-01-17 10:00:00,2023-02-17 10:00:00
ISSUE-396,Task summary 396,Detailed description of task 396,To Do,Medium,user_33,user_6,2023-01-17 11:00:00,2023-02-17 11:00:00
ISSUE-397,Task summary 397,Detailed description of task 397,To Do,Medium,user_45,user_23,2023-01-17 12:00:00,2023-02-17 12:00:00
ISSUE-398,Task summary 398,Detailed description of task 398,In Progress,Medium,user_48,user_32,2023-01-17 13:00:00,2023-02-17 13:00:00
ISSUE-399,Task summary 399,Detailed description of task 399,Done,Critical,user_46,user_35,2023-01-17 14:00:00,2023-02-17 14:00:00
ISSUE-400,Task summary 400,Detailed description of task 400,In Progress,Low,user_24,user_28,2023-01-17 15:00:00,2023-02-17 15:00:00
ISSUE-401,Task summary 401,Detailed description of task 401,In Progress,Medium,user_19,user_19,2023-01-17 16:00:00,2023-02-17 16:00:00
ISSUE-402,Task summary 402,Detailed description of task 402,Done,Medium,user_40,user_14,2023-01-17 17:00:00,2023-02-17 17:00:00
ISSUE-403,Task summary 403,Detailed description of task 403,To Do,Low,user_43,user_33,2023-01-17 18:00:00,2023-02-17 18:00:00
ISSUE-404,Task summary 404,Detailed description of task 404,In Progress,High,user_39,user_7,2023-01-17 19:00:00,2023-02-17 19:00:00
ISSUE-405,Task summary 405,Detailed description of task 405,Done,Critical,user_41,user_24,2023-01-17 20:00:00,2023-02-17 20:00:00
ISSUE-406,Task summary 406,Detailed description of task 406,In Progress,Medium,user_33,user_11,2023-01-17 21:00:00,2023-02-17 21:00:00
ISSUE-407,Task summary 407,Detailed description of task 407,Done,Critical,user_25,user_3,2023-01-17 22:00:00,2023-02-17 22:00:00
ISSUE-408,Task summary 408,Detailed description of task 408,In Progress,Low,user_28,user_25,2023-01-17 23:00:00,2023-02-17 23:00:00
ISSUE-409,Task summary 409,Detailed description of task 409,To Do,Critical,user_32,user_41,2023-01-18 00:00:00,2023-02-18 00:00:00
ISSUE-410,Task summary 410,Detailed description of task 410,Done,Low,user_13,user_14,2023-01-18 01:00:00,2023-02-18 01:00:00
ISSUE-411,Task summary 411,Detailed description of task 411,To Do,Critical,user_49,user_3,2023-01-18 02:00:00,2023-02-18 02:00:00
ISSUE-412,Task summary 412,Detailed description of task 412,In Progress,Low,user_30,user_37,2023-01-18 03:00:00,2023-02-18 03:00:00
ISSUE-413,Task summary 413,Detailed description of task 413,Done,Low,user_27,user_13,2023-01-18 04:00:00,2023-02-18 04:00:00
ISSUE-414,Task summary 414,Detailed description of task 414,In Progress,Critical,user_49,user_37,2023-01-18 05:00:00,2023-02-18 05:00:00
ISSUE-415,Task summary 415,Detailed description of task 415,In Progress,Low,user_31,user_47,2023-01-18 06:00:00,2023-02-18 06:00:00
ISSUE-416,Task summary 416,Detailed description of task 416,Done,Critical,user_7,user_18,2023-01-18 07:00:00,2023-02-18 07:00:00
ISSUE-417,Task summary 417,Detailed description of task 417,To Do,High,user_25,user_38,2023-01-18 08:00:00,2023-02-18 08:00:00
ISSUE-418,Task summary 418,Detailed description of task 418,Done,Critical,user_42,user_1,2023-01-18 09:00:00,2023-02-18 09:00:00
ISSUE-419,Task summary 419,Detailed description of task 419,To Do,Critical,user_38,user_9,2023-01-18 10:00:00,2023-02-18 10:00:00
ISSUE-420,Task summary 420,Detailed description of task 420,To Do,Medium,user_13,user_17,2023-01-18 11:00:00,2023-02-18 11:00:00
ISSUE-421,Task summary 421,Detailed description of task 421,To Do,Critical,user_49,user_47,2023-01-18 12:00:00,2023-02-18 12:00:00
ISSUE-422,Task summary 422,Detailed description of task 422,Done,High,user_26,user_41,2023-01-18 13:00:00,2023-02-18 13:00:00
ISSUE-423,Task summary 423,Detailed description of task 423,Done,Medium,user_11,user_35,2023-01-18 14:00:00,2023-02-18 14:00:00
ISSUE-424,Task summary 424,Detailed description of task 424,Done,Medium,user_7,user_27,2023-01-18 15:00:00,2023-02-18 15:00:00
ISSUE-425,Task summary 425,Detailed description of task 425,In Progress,Medium,user_13,user_14,2023-01-18 16:00:00,2023-02-18 16:00:00
ISSUE-426,Task summary 426,Detailed description of task 426,Done,Critical,user_22,user_49,2023-01-18 17:00:00,2023-02-18 17:00:00
ISSUE-427,Task summary 427,Detailed description of task 427,Done,Critical,user_28,user_33,2023-01-18 18:00:00,2023-02-18 18:00:00
ISSUE-428,Task summary 428,Detailed description of task 428,To Do,Medium,user_7,user_31,2023-01-18 19:00:00,2023-02-18 19:00:00
ISSUE-429,Task summary 429,Detailed description of task 429,In Progress,Medium,user_14,user_38,2023-01-18 20:00:00,2023-02-18 20:00:00
ISSUE-430,Task summary 430,Detailed description of task 430,In Progress,Low,user_46,user_37,2023-01-18 21:00:00,2023-02-18 21:00:00
ISSUE-431,Task summary 431,Detailed description of task 431,In Progress,High,user_28,user_40,2023-01-18 22:00:00,2023-02-18 22:00:00
ISSUE-432,Task summary 432,Detailed description of task 432,In Progress,Medium,user_16,user_7,2023-01-18 23:00:00,2023-02-18 23:00:00
ISSUE-433,Task summary 433,Detailed description of task 433,Done,Medium,user_13,user_22,2023-01-19 00:00:00,2023-02-19 00:00:00
ISSUE-434,Task summary 434,Detailed description of task 434,Done,Medium,user_47,user_14,2023-01-19 01:00:00,2023-02-19 01:00:00
ISSUE-435,Task summary 435,Detailed description of task 435,Done,Medium,user_15,user_8,2023-01-19 02:00:00,2023-02-19 02:00:00
ISSUE-436,Task summary 436,Detailed description of task 436,To Do,Low,user_42,user_13,2023-01-19 03:00:00,2023-02-19 03:00:00
ISSUE-437,Task summary 437,Detailed description of task 437,To Do,Medium,user_25,user_15,2023-01-19 04:00:00,2023-02-19 04:00:00
ISSUE-438,Task summary 438,Detailed description of task 438,To Do,Critical,user_11,user_30,2023-01-19 05:00:00,2023-02-19 05:00:00
ISSUE-439,Task summary 439,Detailed description of task 439,Done,Critical,user_7,user_4,2023-01-19 06:00:00,2023-02-19 06:00:00
ISSUE-440,Task summary 440,Detailed description of task 440,To Do,Critical,user_40,user_5,2023-01-19 07:00:00,2023-02-19 07:00:00
ISSUE-441,Task summary 441,Detailed description of task 441,Done,Critical,user_35,user_47,2023-01-19 08:00:00,2023-02-19 08:00:00
ISSUE-442,Task summary 442,Detailed description of task 442,To Do,Critical,user_44,user_32,2023-01-19 09:00:00,2023-02-19 09:00:00
ISSUE-443,Task summary 443,Detailed description of task 443,To Do,Critical,user_38,user_10,2023-01-19 10:00:00,2023-02-19 10:00:00
ISSUE-444,Task summary 444,Detailed description of task 444,Done,High,user_2,user_35,2023-01-19 11:00:00,2023-02-19 11:00:00
ISSUE-445,Task summary 445,Detailed description of task 445,To Do,Critical,user_45,user_40,2023-01-19 12:00:00,2023-02-19 12:00:00
ISSUE-446,Task summary 446,Detailed description of task 446,In Progress,Medium,user_4,user_34,2023-01-19 13:00:00,2023-02-19 13:00:00
ISSUE-447,Task summary 447,Detailed description of task 447,To Do,Critical,user_23,user_14,2023-01-19 14:00:00,2023-02-19 14:00:00
ISSUE-448,Task summary 448,Detailed description of task 448,In Progress,Critical,user_33,user_43,2023-01-19 15:00:00,2023-02-19 15:00:00
ISSUE-449,Task summary 449,Detailed description of task 449,In Progress,High,user_24,user_44,2023-01-19 16:00:00,2023-02-19 16:00:00
ISSUE-450,Task summary 450,Detailed description of task 450,Done,Critical,user_44,user_42,2023-01-19 17:00:00,2023-02-19 17:00:00
ISSUE-451,Task summary 451,Detailed description of task 451,To Do,Medium,user_49,user_6,2023-01-19 18:00:00,2023-02-19 18:00:00
ISSUE-452,Task summary 452,Detailed description of task 452,To Do,Medium,user_43,user_13,2023-01-19 19:00:00,2023-02-19 19:00:00
ISSUE-453,Task summary 453,Detailed description of task 453,Done,Medium,user_10,user_41,2023-01-19 20:00:00,2023-02-19 20:00:00
ISSUE-454,Task summary 454,Detailed description of task 454,Done,Critical,user_10,user_47,2023-01-19 21:00:00,2023-02-19 21:00:00
ISSUE-455,Task summary 455,Detailed description of task 455,To Do,Critical,user_12,user_10,2023-01-19 22:00:00,2023-02-19 22:00:00
ISSUE-456,Task summary 456,Detailed description of task 456,To Do,Medium,user_40,user_1,2023-01-19 23:00:00,2023-02-19 23:00:00
ISSUE-457,Task summary 457,Detailed description of task 457,Done,Critical,user_39,user_14,2023-01-20 00:00:00,2023-02-20 00:00:00
ISSUE-458,Task summary 458,Detailed description of task 458,In Progress,Medium,user_45,user_3,2023-01-20 01:00:00,2023-02-20 01:00:00
ISSUE-459,Task summary 459,Detailed description of task 459,Done,Low,user_49,user_30,2023-01-20 02:00:00,2023-02-20 02:00:00
ISSUE-460,Task summary 460,Detailed description of task 460,In Progress,High,user_7,user_35,2023-01-20 03:00:00,2023-02-20 03:00:00
ISSUE-461,Task summary 461,Detailed description of task 461,Done,Critical,user_1,user_22,2023-01-20 04:00:00,2023-02-20 04:00:00
ISSUE-462,Task summary 462,Detailed description of task 462,In Progress,Critical,user_29,user_46,2023-01-20 05:00:00,2023-02-20 05:00:00
ISSUE-463,Task summary 463,Detailed description of task 463,Done,Critical,user_25,user_22,2023-01-20 06:00:00,2023-02-20 06:00:00
ISSUE-464,Task summary 464,Detailed description of task 464,Done,Medium,user_39,user_39,2023-01-20 07:00:00,2023-02-20 07:00:00
ISSUE-465,Task summary 465,Detailed description of task 465,To Do,High,user_37,user_18,2023-01-20 08:00:00,2023-02-20 08:00:00
ISSUE-466,Task summary 466,Detailed description of task 466,To Do,High,user_36,user_21,2023-01-20 09:00:00,2023-02-20 09:00:00
ISSUE-467,Task summary 467,Detailed description of task 467,Done,Critical,user_6,user_38,2023-01-20 10:00:00,2023-02-20 10:00:00
ISSUE-468,Task summary 468,Detailed description of task 468,In Progress,Critical,user_14,user_37,2023-01-20 11:00:00,2023-02-20 11:00:00
ISSUE-469,Task summary 469,Detailed description of task 469,Done,Critical,user_44,user_3,2023-01-20 12:00:00,2023-02-20 12:00:00
ISSUE-470,Task summary 470,Detailed description of task 470,To Do,High,user_25,user_17,2023-01-20 13:00:00,2023-02-20 13:00:00
ISSUE-471,Task summary 471,Detailed description of task 471,In Progress,Critical,user_40,user_39,2023-01-20 14:00:00,2023-02-20 14:00:00
ISSUE-472,Task summary 472,Detailed description of task 472,To Do,Medium,user_24,user_47,2023-01-20 15:00:00,2023-02-20 15:00:00
ISSUE-473,Task summary 473,Detailed description of task 473,Done,Medium,user_8,user_13,2023-01-20 16:00:00,2023-02-20 16:00:00
ISSUE-474,Task summary 474,Detailed description of task 474,Done,Medium,user_4,user_8,2023-01-20 17:00:00,2023-02-20 17:00:00
ISSUE-475,Task summary 475,Detailed description of task 475,In Progress,Medium,user_21,user_1,2023-01-20 18:00:00,2023-02-20 18:00:00
ISSUE-476,Task summary 476,Detailed description of task 476,To Do,Medium,user_41,user_34,2023-01-20 19:00:00,2023-02-20 19:00:00
ISSUE-477,Task summary 477,Detailed description of task 477,In Progress,Medium,user_49,user_10,2023-01-20 20:00:00,2023-02-20 20:00:00
ISSUE-478,Task summary 478,Detailed description of task 478,Done,Medium,user_12,user_15,2023-01-20 21:00:00,2023-02-20 21:00:00
ISSUE-479,Task summary 479,Detailed description of task 479,In Progress,Critical,user_12,user_40,2023-01-20 22:00:00,2023-02-20 22:00:00
ISSUE-480,Task summary 480,Detailed description of task 480,In Progress,Medium,user_45,user_2,2023-01-20 23:00:00,2023-02-20 23:00:00
ISSUE-481,Task summary 481,Detailed description of task 481,Done,Critical,user_17,user_30,2023-01-21 00:00:00,2023-02-21 00:00:00
ISSUE-482,Task summary 482,Detailed description of task 482,Done,High,user_41,user_46,2023-01-21 01:00:00,2023-02-21 01:00:00
ISSUE-483,Task summary 483,Detailed description of task 483,In Progress,Low,user_39,user_38,2023-01-21 02:00:00,2023-02-21 02:00:00
ISSUE-484,Task summary 484,Detailed description of task 484,In Progress,Critical,user_34,user_1,2023-01-21 03:00:00,2023-02-21 03:00:00
ISSUE-485,Task summary 485,Detailed description of task 485,To Do,High,user_28,user_26,2023-01-21 04:00:00,2023-02-21 04:00:00
ISSUE-486,Task summary 486,Detailed description of task 486,To Do,Medium,user_34,user_41,2023-01-21 05:00:00,2023-02-21 05:00:00
ISSUE-487,Task summary 487,Detailed description of task 487,To Do,Critical,user_2,user_11,2023-01-21 06:00:00,2023-02-21 06:00:00
ISSUE-488,Task summary 488,Detailed description of task 488,Done,Low,user_3,user_12,2023-01-21 07:00:00,2023-02-21 07:00:00
ISSUE-489,Task summary 489,Detailed description of task 489,In Progress,High,user_26,user_47,2023-01-21 08:00:00,2023-02-21 08:00:00
ISSUE-490,Task summary 490,Detailed description of task 490,Done,Medium,user_5,user_29,2023-01-21 09:00:00,2023-02-21 09:00:00
ISSUE-491,Task summary 491,Detailed description of task 491,Done,Medium,user_26,user_2,2023-01-21 10:00:00,2023-02-21 10:00:00
ISSUE-492,Task summary 492,Detailed description of task 492,To Do,High,user_18,user_35,2023-01-21 11:00:00,2023-02-21 11:00:00
ISSUE-493,Task summary 493,Detailed description of task 493,Done,Low,user_9,user_33,2023-01-21 12:00:00,2023-02-21 12:00:00
ISSUE-494,Task summary 494,Detailed description of task 494,To Do,Critical,user_16,user_6,2023-01-21 13:00:00,2023-02-21 13:00:00
ISSUE-495,Task summary 495,Detailed description of task 495,To Do,Medium,user_44,user_18,2023-01-21 14:00:00,2023-02-21 14:00:00
ISSUE-496,Task summary 496,Detailed description of task 496,To Do,Critical,user_19,user_24,2023-01-21 15:00:00,2023-02-21 15:00:00
ISSUE-497,Task summary 497,Detailed description of task 497,Done,Low,user_42,user_33,2023-01-21 16:00:00,2023-02-21 16:00:00
ISSUE-498,Task summary 498,Detailed description of task 498,Done,Medium,user_33,user_2,2023-01-21 17:00:00,2023-02-21 17:00:00
ISSUE-499,Task summary 499,Detailed description of task 499,In Progress,Critical,user_37,user_7,2023-01-21 18:00:00,2023-02-21 18:00:00
ISSUE-500,Task summary 500,Detailed description of task 500,To Do,Medium,user_19,user_3,2023-01-21 19:00:00,2023-02-21 19:00:00
ISSUE-501,Task summary 501,Detailed description of task 501,In Progress,Low,user_1,user_45,2023-01-21 20:00:00,2023-02-21 20:00:00
ISSUE-502,Task summary 502,Detailed description of task 502,To Do,Medium,user_8,user_32,2023-01-21 21:00:00,2023-02-21 21:00:00
ISSUE-503,Task summary 503,Detailed description of task 503,Done,Critical,user_4,user_18,2023-01-21 22:00:00,2023-02-21 22:00:00
ISSUE-504,Task summary 504,Detailed description of task 504,In Progress,Medium,user_41,user_20,2023-01-21 23:00:00,2023-02-21 23:00:00
ISSUE-505,Task summary 505,Detailed description of task 505,Done,High,user_32,user_2,2023-01-22 00:00:00,2023-02-22 00:00:00
ISSUE-506,Task summary 506,Detailed description of task 506,To Do,Medium,user_23,user_46,2023-01-22 01:00:00,2023-02-22 01:00:00
ISSUE-507,Task summary 507,Detailed description of task 507,Done,Low,user_34,user_27,2023-01-22 02:00:00,2023-02-22 02:00:00
ISSUE-508,Task summary 508,Detailed description of task 508,To Do,Critical,user_46,user_23,2023-01-22 03:00:00,2023-02-22 03:00:00
ISSUE-509,Task summary 509,Detailed description of task 509,Done,High,user_43,user_22,2023-01-22 04:00:00,2023-02-22 04:00:00
ISSUE-510,Task summary 510,Detailed description of task 510,Done,Low,user_45,user_40,2023-01-22 05:00:00,2023-02-22 05:00:00
ISSUE-511,Task summary 511,Detailed description of task 511,Done,Medium,user_14,user_23,2023-01-22 06:00:00,2023-02-22 06:00:00
ISSUE-512,Task summary 512,Detailed description of task 512,Done,High,user_41,user_19,2023-01-22 07:00:00,2023-02-22 07:00:00
ISSUE-513,Task summary 513,Detailed description of task 513,In Progress,Critical,user_4,user_6,2023-01-22 08:00:00,2023-02-22 08:00:00
ISSUE-514,Task summary 514,Detailed description of task 514,To Do,Critical,user_44,user_17,2023-01-22 09:00:00,2023-02-22 09:00:00
ISSUE-515,Task summary 515,Detailed description of task 515,To Do,Low,user_49,user_19,2023-01-22 10:00:00,2023-02-22 10:00:00
ISSUE-516,Task summary 516,Detailed description of task 516,In Progress,High,user_40,user_16,2023-01-22 11:00:00,2023-02-22 11:00:00
ISSUE-517,Task summary 517,Detailed description of task 517,To Do,Low,user_4,user_28,2023-01-22 12:00:00,2023-02-22 12:00:00
ISSUE-518,Task summary 518,Detailed description of task 518,Done,High,user_47,user_31,2023-01-22 13:00:00,2023-02-22 13:00:00
ISSUE-519,Task summary 519,Detailed description of task 519,Done,High,user_27,user_42,2023-01-22 14:00:00,2023-02-22 14:00:00
ISSUE-520,Task summary 520,Detailed description of task 520,Done,Medium,user_41,user_46,2023-01-22 15:00:00,2023-02-22 15:00:00
ISSUE-521,Task summary 521,Detailed description of task 521,In Progress,Critical,user_21,user_45,2023-01-22 16:00:00,2023-02-22 16:00:00
ISSUE-522,Task summary 522,Detailed description of task 522,Done,Low,user_45,user_43,2023-01-22 17:00:00,2023-02-22 17:00:00
ISSUE-523,Task summary 523,Detailed description of task 523,Done,Critical,user_17,user_20,2023-01-22 18:00:00,2023-02-22 18:00:00
ISSUE-524,Task summary 524,Detailed description of task 524,To Do,Low,user_46,user_36,2023-01-22 19:00:00,2023-02-22 19:00:00
ISSUE-525,Task summary 525,Detailed description of task 525,In Progress,Low,user_50,user_4,2023-01-22 20:00:00,2023-02-22 20:00:00
ISSUE-526,Task summary 526,Detailed description of task 526,To Do,Critical,user_15,user_49,2023-01-22 21:00:00,2023-02-22 21:00:00
ISSUE-527,Task summary 527,Detailed description of task 527,Done,Critical,user_24,user_29,2023-01-22 22:00:00,2023-02-22 22:00:00
ISSUE-528,Task summary 528,Detailed description of task 528,In Progress,Low,user_1,user_40,2023-01-22 23:00:00,2023-02-22 23:00:00
ISSUE-529,Task summary 529,Detailed description of task 529,In Progress,High,user_11,user_40,2023-01-23 00:00:00,2023-02-23 00:00:00
ISSUE-530,Task summary 530,Detailed description of task 530,Done,High,user_5,user_3,2023-01-23 01:00:00,2023-02-23 01:00:00
ISSUE-531,Task summary 531,Detailed description of task 531,In Progress,High,user_23,user_26,2023-01-23 02:00:00,2023-02-23 02:00:00
ISSUE-532,Task summary 532,Detailed description of task 532,In Progress,Low,user_39,user_25,2023-01-23 03:00:00,2023-02-23 03:00:00
ISSUE-533,Task summary 533,Detailed description of task 533,To Do,High,user_19,user_28,2023-01-23 04:00:00,2023-02-23 04:00:00
ISSUE-534,Task summary 534,Detailed description of task 534,In Progress,High,user_35,user_20,2023-01-23 05:00:00,2023-02-23 05:00:00
ISSUE-535,Task summary 535,Detailed description of task 535,Done,Medium,user_28,user_12,2023-01-23 06:00:00,2023-02-23 06:00:00
ISSUE-536,Task summary 536,Detailed description of task 536,In Progress,Critical,user_41,user_24,2023-01-23 07:00:00,2023-02-23 07:00:00
ISSUE-537,Task summary 537,Detailed description of task 537,In Progress,Medium,user_10,user_1,2023-01-23 08:00:00,2023-02-23 08:00:00
ISSUE-538,Task summary 538,Detailed description of task 538,In Progress,Medium,user_1,user_10,2023-01-23 09:00:00,2023-02-23 09:00:00
ISSUE-539,Task summary 539,Detailed description of task 539,In Progress,High,user_10,user_11,2023-01-23 10:00:00,2023-02-23 10:00:00
ISSUE-540,Task summary 540,Detailed description of task 540,Done,High,user_34,user_3,2023-01-23 11:00:00,2023-02-23 11:00:00
ISSUE-541,Task summary 541,Detailed description of task 541,In Progress,High,user_4,user_33,2023-01-23 12:00:00,2023-02-23 12:00:00
ISSUE-542,Task summary 542,Detailed description of task 542,To Do,Medium,user_17,user_25,2023-01-23 13:00:00,2023-02-23 13:00:00
ISSUE-543,Task summary 543,Detailed description of task 543,To Do,Low,user_43,user_38,2023-01-23 14:00:00,2023-02-23 14:00:00
ISSUE-544,Task summary 544,Detailed description of task 544,Done,Medium,user_45,user_24,2023-01-23 15:00:00,2023-02-23 15:00:00
ISSUE-545,Task summary 545,Detailed description of task 545,In Progress,High,user_18,user_24,2023-01-23 16:00:00,2023-02-23 16:00:00
ISSUE-546,Task summary 546,Detailed description of task 546,To Do,Medium,user_8,user_11,2023-01-23 17:00:00,2023-02-23 17:00:00
ISSUE-547,Task summary 547,Detailed description of task 547,In Progress,High,user_19,user_5,2023-01-23 18:00:00,2023-02-23 18:00:00
ISSUE-548,Task summary 548,Detailed description of task 548,To Do,Critical,user_31,user_13,2023-01-23 19:00:00,2023-02-23 19:00:00
ISSUE-549,Task summary 549,Detailed description of task 549,To Do,High,user_2,user_30,2023-01-23 20:00:00,2023-02-23 20:00:00
ISSUE-550,Task summary 550,Detailed description of task 550,In Progress,Medium,user_6,user_42,2023-01-23 21:00:00,2023-02-23 21:00:00
ISSUE-551,Task summary 551,Detailed description of task 551,To Do,Medium,user_22,user_32,2023-01-23 22:00:00,2023-02-23 22:00:00
ISSUE-552,Task summary 552,Detailed description of task 552,In Progress,High,user_20,user_27,2023-01-23 23:00:00,2023-02-23 23:00:00
ISSUE-553,Task summary 553,Detailed description of task 553,To Do,Critical,user_34,user_29,2023-01-24 00:00:00,2023-02-24 00:00:00
ISSUE-554,Task summary 554,Detailed description of task 554,Done,High,user_44,user_3,2023-01-24 01:00:00,2023-02-24 01:00:00
ISSUE-555,Task summary 555,Detailed description of task 555,In Progress,High,user_7,user_47,2023-01-24 02:00:00,2023-02-24 02:00:00
ISSUE-556,Task summary 556,Detailed description of task 556,Done,Medium,user_12,user_12,2023-01-24 03:00:00,2023-02-24 03:00:00
ISSUE-557,Task summary 557,Detailed description of task 557,Done,Medium,user_16,user_22,2023-01-24 04:00:00,2023-02-24 04:00:00
ISSUE-558,Task summary 558,Detailed description of task 558,To Do,Critical,user_40,user_22,2023-01-24 05:00:00,2023-02-24 05:00:00
ISSUE-559,Task summary 559,Detailed description of task 559,In Progress,Low,user_43,user_43,2023-01-24 06:00:00,2023-02-24 06:00:00
ISSUE-560,Task summary 560,Detailed description of task 560,In Progress,Critical,user_15,user_30,2023-01-24 07:00:00,2023-02-24 07:00:00
ISSUE-561,Task summary 561,Detailed description of task 561,Done,Critical,user_49,user_48,2023-01-24 08:00:00,2023-02-24 08:00:00
ISSUE-562,Task summary 562,Detailed description of task 562,To Do,Low,user_5,user_14,2023-01-24 09:00:00,2023-02-24 09:00:00
ISSUE-563,Task summary 563,Detailed description of task 563,In Progress,Critical,user_16,user_23,2023-01-24 10:00:00,2023-02-24 10:00:00
ISSUE-564,Task summary 564,Detailed description of task 564,To Do,High,user_14,user_35,2023-01-24 11:00:00,2023-02-24 11:00:00
ISSUE-565,Task summary 565,Detailed description of task 565,In Progress,Low,user_3,user_49,2023-01-24 12:00:00,2023-02-24 12:00:00
ISSUE-566,Task summary 566,Detailed description of task 566,To Do,Medium,user_40,user_48,2023-01-24 13:00:00,2023-02-24 13:00:00
ISSUE-567,Task summary 567,Detailed description of task 567,To Do,Critical,user_37,user_34,2023-01-24 14:00:00,2023-02-24 14:00:00
ISSUE-568,Task summary 568,Detailed description of task 568,Done,Critical,user_48,user_12,2023-01-24 15:00:00,2023-02-24 15:00:00
ISSUE-569,Task summary 569,Detailed description of task 569,Done,Medium,user_39,user_45,2023-01-24 16:00:00,2023-02-24 16:00:00
ISSUE-570,Task summary 570,Detailed description of task 570,In Progress,Low,user_30,user_42,2023-01-24 17:00:00,2023-02-24 17:00:00
ISSUE-571,Task summary 571,Detailed description of task 571,In Progress,Medium,user_28,user_25,2023-01-24 18:00:00,2023-02-24 18:00:00
ISSUE-572,Task summary 572,Detailed description of task 572,In Progress,Medium,user_33,user_46,2023-01-24 19:00:00,2023-02-24 19:00:00
ISSUE-573,Task summary 573,Detailed description of task 573,To Do,High,user_40,user_36,2023-01-24 20:00:00,2023-02-24 20:00:00
ISSUE-574,Task summary 574,Detailed description of task 574,In Progress,High,user_47,user_33,2023-01-24 21:00:00,2023-02-24 21:00:00
ISSUE-575,Task summary 575,Detailed description of task 575,In Progress,Critical,user_36,user_27,2023-01-24 22:00:00,2023-02-24 22:00:00
ISSUE-576,Task summary 576,Detailed description of task 576,In Progress,Low,user_32,user_44,2023-01-24 23:00:00,2023-02-24 23:00:00
ISSUE-577,Task summary 577,Detailed description of task 577,In Progress,High,user_28,user_11,2023-01-25 00:00:00,2023-02-25 00:00:00
ISSUE-578,Task summary 578,Detailed description of task 578,In Progress,Medium,user_46,user_34,2023-01-25 01:00:00,2023-02-25 01:00:00
ISSUE-579,Task summary 579,Detailed description of task 579,Done,Critical,user_36,user_17,2023-01-25 02:00:00,2023-02-25 02:00:00
ISSUE-580,Task summary 580,Detailed description of task 580,In Progress,Low,user_28,user_25,2023-01-25 03:00:00,2023-02-25 03:00:00
ISSUE-581,Task summary 581,Detailed description of task 581,Done,Critical,user_8,user_24,2023-01-25 04:00:00,2023-02-25 04:00:00
ISSUE-582,Task summary 582,Detailed description of task 582,To Do,Medium,user_24,user_17,2023-01-25 05:00:00,2023-02-25 05:00:00
ISSUE-583,Task summary 583,Detailed description of task 583,Done,Critical,user_29,user_39,2023-01-25 06:00:00,2023-02-25 06:00:00
ISSUE-584,Task summary 584,Detailed description of task 584,To Do,High,user_34,user_39,2023-01-25 07:00:00,2023-02-25 07:00:00
ISSUE-585,Task summary 585,Detailed description of task 585,To Do,Critical,user_10,user_43,2023-01-25 08:00:00,2023-02-25 08:00:00
ISSUE-586,Task summary 586,Detailed description of task 586,In Progress,High,user_24,user_38,2023-01-25 09:00:00,2023-02-25 09:00:00
ISSUE-587,Task summary 587,Detailed description of task 587,In Progress,Critical,user_42,user_2,2023-01-25 10:00:00,2023-02-25 10:00:00
ISSUE-588,Task summary 588,Detailed description of task 588,To Do,Low,user_21,user_4,2023-01-25 11:00:00,2023-02-25 11:00:00
ISSUE-589,Task summary 589,Detailed description of task 589,In Progress,High,user_26,user_20,2023-01-25 12:00:00,2023-02-25 12:00:00
ISSUE-590,Task summary 590,Detailed description of task 590,Done,Medium,user_42,user_22,2023-01-25 13:00:00,2023-02-25 13:00:00
ISSUE-591,Task summary 591,Detailed description of task 591,In Progress,Critical,user_12,user_47,2023-01-25 14:00:00,2023-02-25 14:00:00
ISSUE-592,Task summary 592,Detailed description of task 592,To Do,Critical,user_8,user_45,2023-01-25 15:00:00,2023-02-25 15:00:00
